date,temp,weather,wind,humidity,barometer,day_power
2016-04-03,16.108695652173914,Passing clouds,12.847826086956522,65.8913043478261,1008.2608695652174,17.0
2016-04-04,13.454545454545455,Scattered clouds,13.272727272727273,71.5,1005.1363636363636,11.0
2016-04-05,11.022727272727273,Scattered clouds,10.090909090909092,77.72727272727273,1007.1363636363636,8.0
2016-04-07,8.436781609195402,Broken clouds,18.79310344827586,74.79310344827586,1008.9770114942529,8.0
2016-04-08,7.955555555555556,Passing clouds,8.444444444444445,74.75555555555556,1011.4666666666667,15.0
2016-04-10,10.186046511627907,Scattered clouds,11.94186046511628,66.22093023255815,1008.4069767441861,20.0
2016-04-12,13.209302325581396,Passing clouds,14.348837209302326,59.406976744186046,1008.2325581395348,12.0
2016-04-13,9.953488372093023,Passing clouds,7.790697674418604,71.6046511627907,1008.8372093023256,13.0
2016-04-15,11.141176470588235,Passing clouds,12.670588235294117,72.52941176470588,1006.7882352941176,17.0
2016-04-16,9.744186046511627,Broken clouds,19.3953488372093,71.32558139534883,1001.6046511627907,10.0
2016-04-17,7.666666666666667,Scattered clouds,14.5,67.30952380952381,1012.9285714285714,24.0
2016-04-20,9.559055118110237,Scattered clouds,13.622047244094489,61.98425196850393,1026.1102362204724,23.0
2016-04-21,12.547619047619047,Sunny,13.30952380952381,56.5,1023.3095238095239,23.0
2016-04-23,9.096385542168674,Scattered clouds,16.734939759036145,63.24096385542169,1018.0120481927711,15.0
2016-04-24,5.487804878048781,Scattered clouds,16.902439024390244,72.02439024390245,1016.2682926829268,22.0
2016-04-25,5.511627906976744,Broken clouds,15.255813953488373,80.76744186046511,1008.5813953488372,7.0
2016-04-26,5.166666666666667,Scattered clouds,24.11904761904762,72.14285714285714,1002.5714285714286,15.0
2016-04-27,5.883720930232558,Scattered clouds,21.86046511627907,76.11627906976744,1007.6046511627907,13.0
2016-04-28,5.833333333333333,Scattered clouds,8.277777777777779,72.69444444444444,1014.25,16.0
2016-04-29,7.977777777777778,Passing clouds,15.8,70.31111111111112,1012.8888888888889,12.0
2016-04-30,8.595744680851064,Scattered clouds,11.51063829787234,67.68085106382979,1019.0,13.0
2016-05-01,9.565217391304348,Passing clouds,12.369565217391305,59.08695652173913,1027.0869565217392,27.0
2016-05-04,10.969924812030076,Passing clouds,10.93233082706767,59.97744360902256,1025.3383458646617,23.0
2016-05-05,13.127659574468085,Passing clouds,11.48936170212766,49.08510638297872,1022.468085106383,28.0
2016-05-06,16.8125,Passing clouds,10.583333333333334,55.229166666666664,1012.7083333333334,25.0
2016-05-07,19.083333333333332,Passing clouds,7.1875,52.1875,1009.3125,19.0
2016-05-08,20.23404255319149,Passing clouds,14.25531914893617,47.04255319148936,1009.3829787234042,27.0
2016-05-09,20.06382978723404,Passing clouds,16.02127659574468,49.91489361702128,1010.2978723404256,19.0
2016-05-10,17.5625,Broken clouds,11.125,79.60416666666667,1008.3541666666666,11.0
2016-05-11,19.125,Passing clouds,9.041666666666666,66.66666666666667,1003.6666666666666,20.0
2016-05-12,19.6875,Sunny,11.5,56.166666666666664,999.4375,21.0
2016-05-13,18.083333333333332,Passing clouds,14.875,59.083333333333336,1003.9375,25.0
2016-05-14,9.770833333333334,Scattered clouds,20.729166666666668,60.166666666666664,1015.2708333333334,21.0
2016-05-15,9.48936170212766,Scattered clouds,16.638297872340427,64.80851063829788,1021.0212765957447,14.0
